open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1664582400000,19411.60,19474.00,19140.00,19304.00,294457.009,1664668799999,5685550297.42183,1939854,144185.532,2784246476.89740,0
1664668800000,19304.00,19389.00,18896.00,19049.40,414970.451,1664755199999,7957458596.47117,2498575,202621.190,3886043189.83180,0
1664755200000,19049.30,19723.70,18950.80,19622.00,621816.329,1664841599999,12026295294.53641,3795723,321432.703,6217228235.30711,0
1664841600000,19621.90,20500.00,19480.10,20333.00,796678.762,1664927999999,15931560832.40438,4715325,416652.855,8333408104.57493,0
1664928000000,20332.90,20356.10,19707.00,20150.00,719577.149,1665014399999,14444920350.12968,4213991,358823.385,7204033674.27286,0
1665014400000,20149.90,20443.90,19843.30,19954.00,782034.669,1665100799999,15747127411.81796,4650712,389002.932,7834334570.65109,0
1665100800000,19954.00,20067.00,19304.40,19520.90,673407.102,1665187199999,13256159671.11093,4051050,323986.884,6379195001.60470,0
1665187200000,19520.90,19619.60,19200.00,19406.20,253257.201,1665273599999,4925720956.06823,1749051,123754.239,2407418552.30900,0
1665273600000,19406.30,19550.00,19310.00,19430.00,267178.795,1665359999999,5194156496.34906,1739249,135041.100,2625493919.81136,0
1665360000000,19430.00,19513.00,19000.00,19124.00,560920.904,1665446399999,10812283652.88902,3300957,271613.126,5236399001.56860,0
1665446400000,19124.10,19260.00,18850.00,19055.00,603358.324,1665532799999,11498533040.99648,3341536,301534.208,5747189040.28710,0
1665532800000,19055.00,19240.00,18924.30,19148.00,406770.288,1665619199999,7770793558.69373,2465034,204842.683,3913553340.16073,0
1665619200000,19148.10,19498.60,17917.80,19365.50,1104615.001,1665705599999,20803755671.58129,5965822,548317.372,10332779983.60187,0
1665705600000,19365.40,19947.90,19059.60,19164.60,861453.210,1665791999999,16828184593.54722,4735908,429107.424,8385720727.06833,0
1665792000000,19164.60,19218.80,18966.00,19060.40,241520.185,1665878399999,4616795782.81949,1540108,118014.949,2256135138.12090,0
1665878400000,19060.40,19415.90,19058.00,19251.90,267921.192,1665964799999,5145257703.04760,1691004,134085.564,2575168424.29010,0
1665964800000,19251.80,19666.00,19148.00,19540.60,502319.759,1666051199999,9769309074.28858,2887591,259733.128,5051559982.45648,0
1666051200000,19540.70,19706.40,19081.00,19320.90,634343.154,1666137599999,12327590621.92813,3459125,310203.329,6029736437.47220,0
1666137600000,19320.90,19349.80,19050.00,19116.70,404370.458,1666223999999,7760139097.53990,2416553,196266.973,3767015670.08820,0
1666224000000,19116.60,19350.00,18882.40,19034.70,537627.048,1666310399999,10277064463.57478,2877859,261819.691,5005173988.24583,0
1666310400000,19034.80,19240.00,18600.00,19150.90,581878.905,1666396799999,11058978810.26926,2984842,289151.867,5497390082.03491,0
1666396800000,19151.00,19250.00,19103.50,19195.10,174055.042,1666483199999,3337193018.90100,1079976,88690.436,1700596744.98640,0
1666483200000,19195.10,19690.00,19050.00,19560.70,358611.542,1666569599999,6943907525.50088,1947148,188795.430,3656463717.11928,0
1666569600000,19560.60,19593.30,19146.00,19318.10,476676.536,1666655999999,9216319528.28483,2450024,232513.239,4495883147.47700,0
1666656000000,19318.10,20415.00,19228.00,20068.30,777306.534,1666742399999,15400549183.34802,4132715,403731.355,7999850052.08242,0
1666742400000,20068.30,21030.00,20041.10,20758.30,841864.982,1666828799999,17352691191.05276,4594814,425235.003,8765776252.23314,0
1666828800000,20758.40,20863.70,20170.00,20285.50,614910.045,1666915199999,12645404154.35179,3746823,296534.203,6100035333.43200,0
1666915200000,20285.60,20740.00,19951.00,20582.80,595538.882,1667001599999,12129765185.26634,3464429,297991.899,6071710763.19442,0
1667001600000,20582.70,21088.00,20547.80,20796.70,482217.170,1667087999999,10032159490.87770,2764585,240831.261,5011025623.65917,0
1667088000000,20796.70,20925.20,20503.00,20615.60,295389.690,1667174399999,6114966321.62948,1859492,145513.555,3013119568.54830,0
1667174400000,20615.50,20838.70,20225.40,20482.00,478797.266,1667260799999,9815305143.42379,2823774,235335.712,4825462674.58190,0
